#"Step","Potential Energy (kJ/mole)","Temperature (K)","Harmonic Bond Energy (kJ/mol)","Harmonic Angle Energy (kJ/mol)","Periodic Torsion Energy (kJ/mol)","LJ 12-10 Contact Energy (kJ/mol)","Double Gaussian Contact Energy (kJ/mol)","LJ 12 Repulsion Energy (kJ/mol)"
2000,-449.86878204345703,78.01047599196697,59.80420684814453,53.8572883605957,21.57341194152832,-437.4804458618164,-147.6561737060547,0.03294283151626587
4000,-375.18385314941406,111.43742303001495,94.79122924804688,66.7399673461914,27.110435485839844,-416.8682098388672,-146.98585510253906,0.02856019139289856
6000,-308.58874702453613,116.48797948570221,101.3331298828125,80.12886810302734,36.47408676147461,-386.69656562805176,-139.84927368164062,0.02101268246769905
8000,-318.5793342590332,124.01030720652668,105.95091247558594,86.58529663085938,35.42915725708008,-401.23247146606445,-145.3345184326172,0.02231428772211075
10000,-291.38315773010254,116.19086976907359,116.00188446044922,89.61825561523438,38.88153839111328,-393.9706516265869,-141.93540954589844,0.021239295601844788
12000,-284.80321884155273,126.62081123766814,130.09786987304688,83.11769104003906,41.365596771240234,-395.83767318725586,-143.57147216796875,0.024785511195659637
14000,-317.98958587646484,128.9783878160762,102.95146179199219,76.1282958984375,35.15923309326172,-389.4895248413086,-142.7777557373047,0.03870837017893791
16000,-248.26554107666016,116.88717493008868,128.29559326171875,91.77770233154297,54.124969482421875,-382.30431365966797,-140.19662475585938,0.03712981939315796
18000,-264.6050338745117,123.08632160071826,125.9158935546875,93.52607727050781,39.904151916503906,-379.1443099975586,-144.86253356933594,0.05568299442529678
20000,-295.4445915222168,107.57338447284673,96.61316680908203,101.02665710449219,34.519901275634766,-381.65131759643555,-145.9835662841797,0.030587034299969673
22000,-288.10280990600586,120.4044215924128,107.95945739746094,68.34445190429688,42.13201904296875,-371.4928550720215,-135.1397705078125,0.09387117624282837
24000,-322.8046569824219,118.70354164444711,103.56119537353516,73.61958312988281,31.20757293701172,-389.7447204589844,-141.46347045898438,0.015131121501326561
26000,-307.02003288269043,126.27739247114935,112.55280303955078,85.10103607177734,39.07084274291992,-398.33439445495605,-145.43980407714844,0.029464835301041603
28000,-267.48069190979004,125.14077400317863,124.53106689453125,98.29383850097656,40.33308410644531,-386.8056125640869,-143.8510284423828,0.01796892285346985
30000,-303.44087982177734,125.83914877852217,119.28269958496094,75.77889251708984,48.59254455566406,-402.5289535522461,-144.58059692382812,0.01453847624361515
32000,-294.2983093261719,124.66667224130316,123.88346862792969,92.38790130615234,30.661582946777344,-395.3989562988281,-145.85113525390625,0.018820393830537796
34000,-291.7355899810791,121.62149202952604,122.29348754882812,87.45406341552734,36.88591384887695,-394.6424198150635,-143.75289916992188,0.026270199567079544
36000,-261.50560760498047,119.64824626220637,124.67707824707031,96.13321685791016,46.208194732666016,-386.6962661743164,-141.8538818359375,0.026020996272563934
38000,-259.4925708770752,121.93709106311078,118.53691101074219,89.46165466308594,45.4658203125,-372.97187995910645,-140.00782775878906,0.02275235950946808
40000,-292.07905769348145,126.72494371108783,107.80638122558594,78.3115005493164,37.861061096191406,-373.19478034973145,-142.89761352539062,0.03438848257064819
